label,x1,y1,x2,y2,x3,y3,x4,y4,path_img
Diamant_2,14,90,81,90,14,164,81,164,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/261_Diamant2.jpg
Diamant_3,32,94,98,94,32,160,98,160,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/140_Diamant3.jpg
Diamant_3,25,96,124,96,25,194,124,194,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/105_Diamant3.jpg
Diamant_3,85,104,130,104,85,162,130,162,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/273_Diamant3.jpg
Cercle_3,35,75,109,75,35,143,109,143,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/8_Cercle3.jpg
Diamant_5,142,64,203,64,142,121,203,121,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/46_Diamant5.jpg
Diamant_5,51,62,122,62,51,130,122,130,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/64_Diamant5.jpg
Hexagone_2,133,97,246,97,133,205,246,205,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/212_Hexagone2.jpg
Triangle_5,126,52,174,52,126,111,174,111,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle5/135_Triangle5.jpg
Hexagone_5,59,88,186,88,59,214,186,214,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/232_Hexagone5.jpg
Hexagone_5,108,79,242,79,108,211,242,211,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/186_Hexagone5.jpg
No_Shape,5,92,102,92,5,174,102,174,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/207_NoShape.jpg
Hexagone_5,101,65,216,65,101,177,216,177,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/19_Hexagone5.jpg
Diamant_3,238,92,319,92,238,172,319,172,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/119_Diamant3.jpg
Hexagone_5,50,69,193,69,50,205,193,205,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/147_Hexagone5.jpg
Diamant_5,133,143,172,143,133,185,172,185,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/88_Diamant5.jpg
Diamant_3,87,0,183,0,87,81,183,81,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/99_Diamant3.jpg
Diamant_2,0,0,140,0,0,124,140,124,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/83_Diamant2.jpg
Diamant_2,122,86,195,86,122,151,195,151,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/334_Diamant2.jpg
Hexagone_3,59,76,101,76,59,120,101,120,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone3/254_Hexagone3.jpg
Triangle_2,213,141,270,141,213,198,270,198,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/1_Triangle2.jpg
Diamant_4,112,109,179,109,112,176,179,176,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/188_Diamant4.jpg
Triangle_2,128,129,187,129,128,194,187,194,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/273_Triangle2.jpg
Triangle_3,116,143,188,143,116,213,188,213,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/164_Triangle3.jpg
Hexagone_4,105,52,157,52,105,105,157,105,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/172_Hexagone4.jpg
Diamant_4,161,51,242,51,161,117,242,117,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/160_Diamant4.jpg
Hexagone_2,117,39,184,39,117,104,184,104,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/128_Hexagone2.jpg
Hexagone_2,115,110,155,110,115,151,155,151,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/292_Hexagone2.jpg
Triangle_4,128,55,161,55,128,90,161,90,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/72_Triangle4.jpg
Diamant_2,69,143,132,143,69,208,132,208,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/186_Diamant2.jpg
Hexagone_2,64,140,105,140,64,180,105,180,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/179_Hexagone2.jpg
Triangle_4,207,150,245,150,207,188,245,188,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/212_Triangle4.jpg
Triangle_3,155,104,222,104,155,167,222,167,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/101_Triangle3.jpg
Diamant_4,95,32,161,32,95,98,161,98,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/128_Diamant4.jpg
Hexagone_5,191,99,245,99,191,156,245,156,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/131_Hexagone5.jpg
Cercle_3,177,70,250,70,177,139,250,139,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/549_Cercle3.jpg
Triangle_2,33,44,162,44,33,172,162,172,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/51_Triangle2.jpg
Hexagone_4,3,46,192,46,3,218,192,218,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/199_Hexagone4.jpg
Hexagone_5,128,173,178,173,128,229,178,229,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/139_Hexagone5.jpg
Hexagone_5,66,93,204,93,66,227,204,227,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/226_Hexagone5.jpg
Diamant_2,91,109,136,109,91,151,136,151,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/82_Diamant2.jpg
Triangle_2,76,23,182,23,76,142,182,142,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/127_Triangle2.jpg
Hexagone_2,147,119,203,119,147,173,203,173,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/260_Hexagone2.jpg
Cercle_4,71,126,135,126,71,192,135,192,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/11_Cercle4.jpg
Cercle_4,109,93,168,93,109,159,168,159,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/97_Cercle4.jpg
Hexagone_2,126,133,180,133,126,187,180,187,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/243_Hexagone2.jpg
Triangle_2,248,143,308,143,248,203,308,203,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/134_Triangle2.jpg
Diamant_5,118,108,208,108,118,200,208,200,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/100_Diamant5.jpg
Cercle_2,36,34,154,34,36,124,154,124,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/16_Cercle2.jpg
Diamant_2,54,112,83,112,54,139,83,139,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/157_Diamant2.jpg
Cercle_3,84,116,143,116,84,171,143,171,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/23_Cercle3.jpg
Hexagone_2,38,135,99,135,38,190,99,190,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/79_Hexagone2.jpg
Cercle_4,107,95,163,95,107,151,163,151,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/61_Cercle4.jpg
Cercle_2,24,41,127,41,24,120,127,120,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/187_Cercle2.jpg
Cercle_2,158,41,182,41,158,63,182,63,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/212_Cercle2.jpg
Cercle_4,7,130,62,130,7,179,62,179,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/14_Cercle4.jpg
Triangle_3,152,51,206,51,152,106,206,106,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/196_Triangle3.jpg
Cercle_5,32,125,89,125,32,181,89,181,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/185_Cercle5.jpg
Triangle_2,133,34,183,34,133,110,183,110,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/257_Triangle2.jpg
Diamant_3,151,101,182,101,151,133,182,133,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/181_Diamant3.jpg
No_Shape,81,32,138,32,81,83,138,83,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/302_NoShape.jpg
Diamant_2,156,48,239,48,156,144,239,144,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/376_Diamant2.jpg
Hexagone_5,169,61,246,61,169,139,246,139,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/163_Hexagone5.jpg
Diamant_4,130,142,203,142,130,215,203,215,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/107_Diamant4.jpg
Cercle_3,128,66,209,66,128,141,209,141,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/526_Cercle3.jpg
Triangle_2,154,114,197,114,154,155,197,155,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/26_Triangle2.jpg
Hexagone_5,233,124,284,124,233,174,284,174,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/185_Hexagone5.jpg
Cercle_4,102,41,190,41,102,143,190,143,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/202_Cercle4.jpg
Hexagone_5,38,80,172,80,38,208,172,208,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/195_Hexagone5.jpg
Diamant_3,187,144,240,144,187,192,240,192,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/85_Diamant3.jpg
Diamant_2,149,110,223,110,149,179,223,179,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/354_Diamant2.jpg
Diamant_2,108,79,218,79,108,194,218,194,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/420_Diamant2.jpg
Diamant_5,221,62,300,62,221,142,300,142,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/174_Diamant5.jpg
Cercle_3,58,25,160,25,58,119,160,119,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/103_Cercle3.jpg
Cercle_3,257,107,295,107,257,144,295,144,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/282_Cercle3.jpg
Cercle_3,17,3,240,3,17,215,240,215,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/162_Cercle3.jpg
Triangle_3,148,135,193,135,148,179,193,179,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/103_Triangle3.jpg
Diamant_4,77,60,184,60,77,168,184,168,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/206_Diamant4.jpg
No_Shape,39,94,123,94,39,163,123,163,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/81_NoShape.jpg
Diamant_2,153,40,225,40,153,110,225,110,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/223_Diamant2.jpg
Hexagone_4,115,23,174,23,115,82,174,82,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/120_Hexagone4.jpg
Diamant_2,195,117,261,117,195,189,261,189,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/434_Diamant2.jpg
Triangle_2,3,45,126,45,3,162,126,162,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/191_Triangle2.jpg
No_Shape,161,72,239,72,161,134,239,134,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/102_NoShape.jpg
Cercle_5,40,154,119,154,40,230,119,230,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/73_Cercle5.jpg
Cercle_2,99,31,209,31,99,125,209,125,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/8_Cercle2.jpg
Hexagone_3,206,65,266,65,206,126,266,126,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone3/253_Hexagone3.jpg
Diamant_4,156,105,189,105,156,138,189,138,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/35_Diamant4.jpg
Diamant_4,51,77,123,77,51,147,123,147,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/211_Diamant4.jpg
Diamant_5,110,76,197,76,110,151,197,151,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/167_Diamant5.jpg
Triangle_3,134,110,227,110,134,206,227,206,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/182_Triangle3.jpg
Hexagone_5,184,91,210,91,184,116,210,116,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/104_Hexagone5.jpg
Cercle_3,77,35,165,35,77,122,165,122,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/131_Cercle3.jpg
Triangle_2,139,29,238,29,139,132,238,132,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/411_Triangle2.jpg
Hexagone_5,62,135,105,135,62,186,105,186,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/248_Hexagone5.jpg
Cercle_4,88,149,144,149,88,203,144,203,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/128_Cercle4.jpg
Cercle_5,70,121,129,121,70,177,129,177,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/198_Cercle5.jpg
Cercle_5,99,27,173,27,99,96,173,96,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/129_Cercle5.jpg
